# Target Sample Rate: 500 Hz
# Max Device Sample Rate: 500 Hz
# Recording started at: 2026-02-10 20:46:22.857
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
2.205061,0.156,0.734,-0.356,0.831
2.210878,0.102,0.696,-0.357,0.789
2.212935,-0.107,0.569,-0.364,0.684
2.214916,-0.187,0.523,-0.369,0.666
2.217313,-0.273,0.472,-0.374,0.661
2.220027,-0.363,0.419,-0.377,0.671
2.221534,-0.454,0.367,-0.381,0.697
2.223350,-0.547,0.313,-0.385,0.738
2.224972,-0.640,0.255,-0.387,0.790
2.227016,-0.734,0.194,-0.388,0.852
2.233021,-0.824,0.126,-0.390,0.921
2.236943,-1.173,-0.169,-0.391,1.248
2.238928,-1.255,-0.251,-0.386,1.336
2.240897,-1.336,-0.329,-0.382,1.428
2.243145,-1.417,-0.406,-0.378,1.522
2.245015,-1.490,-0.478,-0.376,1.609
2.246897,-1.562,-0.544,-0.375,1.696
2.248799,-1.629,-0.602,-0.375,1.777
2.255921,-1.694,-0.654,-0.377,1.854
2.258687,-1.909,-0.812,-0.397,2.112
2.260750,-1.955,-0.847,-0.405,2.169
2.262762,-2.001,-0.882,-0.411,2.225
2.264635,-2.047,-0.918,-0.414,2.282
2.266750,-2.094,-0.958,-0.418,2.341
2.268857,-2.142,-1.003,-0.422,2.403
2.270648,-2.194,-1.051,-0.421,2.469
2.277596,-2.248,-1.100,-0.417,2.537
2.280614,-2.497,-1.315,-0.342,2.843
2.282624,-2.576,-1.369,-0.299,2.932
2.284672,-2.662,-1.423,-0.243,3.028
2.286705,-2.757,-1.468,-0.175,3.128
2.288694,-2.862,-1.513,-0.098,3.239
2.290663,-2.974,-1.556,-0.018,3.356
2.292661,-3.085,-1.590,0.063,3.471
2.303004,-3.195,-1.619,0.142,3.584
2.306616,-3.523,-1.610,0.473,3.902
2.309778,-3.501,-1.559,0.495,3.865
2.310606,-3.460,-1.486,0.511,3.800
2.312532,-3.408,-1.390,0.520,3.717
2.314648,-3.344,-1.271,0.525,3.616
2.324410,-3.267,-1.129,0.532,3.497
2.326514,-2.860,-0.177,0.538,2.916
2.328409,-2.784,0.042,0.537,2.836
2.330644,-2.716,0.266,0.539,2.782
2.333055,-2.652,0.488,0.541,2.751
2.334447,-2.592,0.715,0.545,2.743
2.336810,-2.542,0.938,0.552,2.765
2.338626,-2.499,1.155,0.562,2.810
2.347304,-2.463,1.365,0.572,2.873
2.350273,-2.402,2.312,0.636,3.394
2.352419,-2.409,2.467,0.635,3.506
2.354387,-2.421,2.604,0.622,3.610
2.356510,-2.444,2.724,0.601,3.709
2.358351,-2.468,2.825,0.572,3.794
2.360423,-2.499,2.908,0.533,3.871
2.369556,-2.534,2.965,0.489,3.931
2.372275,-2.694,2.916,0.231,3.977
2.374326,-2.712,2.832,0.179,3.925
2.376190,-2.722,2.719,0.124,3.849
2.378238,-2.723,2.574,0.072,3.748
2.380392,-2.712,2.400,0.026,3.621
2.382752,-2.691,2.196,-0.018,3.473
2.389906,-2.659,1.966,-0.052,3.307
2.392268,-2.445,0.884,-0.154,2.604
2.394076,-2.370,0.601,-0.172,2.451
2.396120,-2.292,0.320,-0.184,2.322
2.398121,-2.207,0.053,-0.194,2.216
2.400130,-2.120,-0.203,-0.200,2.139
2.402144,-2.026,-0.440,-0.205,2.083
